HIGH-CONVERSION PROSPECTS (score >= 8)
Count: 14

- [10] Crystal International School | Lunawada, Gujarat | Ph: Unknown | no_website
- [10] Sanjivani World School | Jaipur, Rajasthan | Ph: Unknown | no_website
- [10] Tiny Hug Play School | Chennai, Tamil Nadu | Ph: +919940209198 | no_website
- [10] Chhatrapati Shivaji Maharaj International School | Mumbai, Maharashtra | Ph: Unknown | no_website
- [9] Greenfield Kids Excellent Play School | Kolkata, West Bengal | Ph: Unknown | no_website
- [9] JMK Pre School | Pathankot, Punjab | Ph: +919357896882 | no_website
- [9] The New Tulip International School | Ahmedabad, Gujarat | Ph: +917819069210 | no_website
- [9] GD Goenka Public School Bhagalpur | Bhagalpur, Bihar | Ph: +917672800010 | broken
- [9] Firstcry Intellitots Preschool Bangur Avenue | Kolkata, West Bengal | Ph: Unknown | no_website
- [9] Bachpan Play School Baguiati | Kolkata, West Bengal | Ph: Unknown | no_website
- [8] Indo British Global School Chikkabanavara | Bengaluru, Karnataka | Ph: +919104419104 | active
- [8] Indo British Global School Pawdewadi | Nanded, Maharashtra | Ph: +919104419104 | active
- [8] Little Millennium Preschool Magarpatta | Pune, Maharashtra | Ph: +919604647727 | no_website
- [8] Seventh Day Adventist High School Ranchi | Ranchi, Jharkhand | Ph: Unknown | no_website
